# File generated at 2025-02-20 01:54:42 CST
# Generated by StructureSelector
# http://lmme.qdio.ac.cn/StructureSelector/
# https://lmme.ac.cn/StructureSelector/        
# Contact: Yulong Li <liyulong12@mails.ucas.ac.cn>
# Citation: Li YL, Liu JX (2018) StructureSelector: A web based software to select and visualize the optimal number of 
# clusters using multiple methods.Molecular Ecology Resources, 18:176–177.
#
# Puechmaille Method:
# Citation:
# Puechmaille SJ (2016) The program structure does not reliably recover the correct population structure 
# when sampling is uneven: subsampling and new estimators alleviate the problem. Molecular Ecology Resources, 16: 608-627.
K	MedMed	MedMean	MaxMed	MaxMean	Reps
1	1	1	1	1	20
2	2	2	2	2	20
3	2	2	2	2	20
4	3	3	3	3	20
5	3	3	3	3	20
6	4	4	4	4	20
7	3	3	5	5	20
8	3	2	4	4	20
9	2	2	3	3	20
10	2	2	5	5	20
11	2	2	4	4	20
12	2	2	4	4	20
13	2	1	3	3	20
14	2	2	4	3	20
15	1	1	4	3	20
16	1	1	2	4	20
17	1	1	2	2	20
18	1	1	2	2	20
19	1	1	2	2	20
20	1	1	2	2	20
	MedMedK	MedMeaK	MaxMedK	MaxMeaK
ALL	4	4	5	5
