# File generated at 2025-02-20 21:53:36 CST
# Generated by StructureSelector
# http://lmme.qdio.ac.cn/StructureSelector/
# https://lmme.ac.cn/StructureSelector/        
# Contact: Yulong Li <liyulong12@mails.ucas.ac.cn>
# Citation: Li YL, Liu JX (2018) StructureSelector: A web based software to select and visualize the optimal number of 
# clusters using multiple methods.Molecular Ecology Resources, 18:176–177.
#
# Puechmaille Method:
# Citation:
# Puechmaille SJ (2016) The program structure does not reliably recover the correct population structure 
# when sampling is uneven: subsampling and new estimators alleviate the problem. Molecular Ecology Resources, 16: 608-627.
K	MedMed	MedMean	MaxMed	MaxMean	Reps
1	1	1	1	1	20
2	2	2	2	2	20
3	3	3	3	3	20
4	4	4	4	4	20
5	5	5	5	5	20
6	6	6	6	6	20
7	6	6	7	7	20
8	7	7	7	7	20
9	6	6	8	8	20
10	6	7	7	8	20
11	6	7	8	9	20
12	6	6	8	8	20
13	6	6	8	8	20
14	6	5	8	8	20
15	6	5	7	6	20
16	6	5	7	7	20
17	6	6	7	7	20
18	6	6	6	7	20
19	5	5	6	6	20
20	5	5	6	7	20
	MedMedK	MedMeaK	MaxMedK	MaxMeaK
ALL	7	7	8	9
