pop1	pop2	fst	weightedFst
Xm1	Xm2	0.029608	0.101628
Xm1	Xm3	0.008069	0.086823
Xm1	Xm4	0.007120	0.065334
Xm1	Xm5	0.054842	0.160853
Xm1	Xm6	0.007770	0.027551
Xm1	Xm7	0.065331	0.092595
Xm2	Xm3	0.019867	0.045917
Xm2	Xm4	0.027635	0.080868
Xm2	Xm5	0.026690	0.128105
Xm2	Xm6	0.027185	0.098814
Xm2	Xm7	0.024057	0.048641
Xm3	Xm4	0.006874	0.050389
Xm3	Xm5	0.046861	0.157318
Xm3	Xm6	0.007652	0.085652
Xm3	Xm7	0.030005	0.013374
Xm4	Xm5	0.058727	0.185814
Xm4	Xm6	0.006964	0.069537
Xm4	Xm7	0.057962	0.060848
Xm5	Xm6	0.051148	0.154553
Xm5	Xm7	0.029800	0.135146
Xm6	Xm7	0.058790	0.093226
